dataset,policy,sample_count,event_count,mean_t_block_ms,std_t_block_ms,ci95_low_t_block_ms,ci95_high_t_block_ms,mean_semantic_recall,std_semantic_recall,ci95_low_semantic_recall,ci95_high_semantic_recall,mean_on_time_recall,std_on_time_recall,ci95_low_on_time_recall,ci95_high_on_time_recall,mean_read_amplification,std_read_amplification,ci95_low_read_amplification,ci95_high_read_amplification,mean_useful_on_time_bytes,std_useful_on_time_bytes,ci95_low_useful_on_time_bytes,ci95_high_useful_on_time_bytes,mean_late_useful_bytes,std_late_useful_bytes,ci95_low_late_useful_bytes,ci95_high_late_useful_bytes,mean_wrong_nvme_bytes,std_wrong_nvme_bytes,ci95_low_wrong_nvme_bytes,ci95_high_wrong_nvme_bytes,mean_wrong_h2d_bytes,std_wrong_h2d_bytes,ci95_low_wrong_h2d_bytes,ci95_high_wrong_h2d_bytes,mean_correction_bytes,std_correction_bytes,ci95_low_correction_bytes,ci95_high_correction_bytes
musique,No-Selected-Prefetch,3,10,0.37412944444444446,0.02218449361436781,0.353971,0.3978973333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983040.0,0.0,983040.0,983040.0
musique,Oracle,3,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,983040.0,0.0,983040.0,983040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musique,Past-Frequency,3,10,0.07670544444444444,0.02184665431881792,0.053871,0.097408,0.8925924444444444,0.04490492929429825,0.8444443333333332,0.9333329999999999,0.8925924444444444,0.04490492929429825,0.8444443333333332,0.9333329999999999,1.1740725,0.044905273006073526,1.13333,1.2222199999999999,877454.2222222221,44143.43178187989,830122.6666666666,917504.0,0.0,0.0,0.0,0.0,171121.77777777778,44143.43178187987,131072.0,218453.33333333334,171121.77777777778,44143.43178187987,131072.0,218453.33333333334,105585.7777777778,44143.43178187987,65536.0,152917.33333333334
musique,Random-Same-Volume,3,10,0.2099005833333333,0.01505509993485966,0.1983113333333333,0.22691675,0.4925925277777778,0.05250908994404982,0.43333325,0.5333333333333333,0.4925925277777778,0.05250908994404982,0.43333325,0.5333333333333333,1.5740741666666667,0.052508396359005796,1.5333333333333332,1.6333325,484238.22222222225,51618.50881368183,425984.0,524288.0,0.0,0.0,0.0,0.0,564337.7777777779,51618.508813681816,524288.0,622592.0,564337.7777777779,51618.508813681816,524288.0,622592.0,498801.77777777775,51618.50881368183,458752.0,557056.0
narrativeqa,History-Last1,3,10,0.14550404166666667,0.03350070977427506,0.107011125,0.16807000000000002,0.688889,0.10183497907399013,0.6,0.8000000000000002,0.688889,0.10183497907399013,0.6,0.8000000000000002,1.31111,0.10183465176451478,1.2,1.3999999999999997,677205.3333333334,100107.89358154198,589824.0,786432.0,0.0,0.0,0.0,0.0,305834.6666666667,100107.89358154198,196608.0,393216.0,305834.6666666667,100107.89358154198,196608.0,393216.0,305834.6666666667,100107.89358154198,196608.0,371370.6666666667
narrativeqa,No-Selected-Prefetch,3,10,0.35382258333333333,0.0035088077420732744,0.350558,0.35753299999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983040.0,0.0,983040.0,983040.0
narrativeqa,Oracle,3,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,983040.0,0.0,983040.0,983040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
narrativeqa,Past-Frequency,3,10,0.13493220833333333,0.03642333388269405,0.103372625,0.17478800000000003,0.7361110833333333,0.11794927307330401,0.6,0.80833325,0.7361110833333333,0.11794927307330401,0.6,0.80833325,1.3305579166666666,0.11795019155567668,1.25833375,1.46667,723626.6666666666,115948.87848243007,589824.0,794624.0,0.0,0.0,0.0,0.0,324949.3333333333,115948.87848243007,253952.0,458752.0,324949.3333333333,115948.87848243007,253952.0,458752.0,259413.33333333334,115948.87848243007,188416.0,393216.0
narrativeqa,Random-Same-Volume,3,10,0.205128875,0.0062681039036438365,0.19789262500000002,0.20887599999999998,0.5333330833333333,1.4433756731758166e-07,0.533333,0.53333325,0.5333330833333333,1.4433756731758166e-07,0.533333,0.53333325,1.5333308333333333,1.4433756729194215e-06,1.53333,1.5333325,524288.0,0.0,524288.0,524288.0,0.0,0.0,0.0,0.0,524288.0,0.0,524288.0,524288.0,524288.0,0.0,524288.0,524288.0,458752.0,0.0,458752.0,458752.0
qmsum,History-Last1,3,10,0.09472508333333333,0.03703643278612066,0.052175,0.119717,0.8592593055555554,0.06788991331009571,0.80000025,0.9333333333333332,0.8592593055555554,0.06788991331009571,0.80000025,0.9333333333333332,1.1407402777777778,0.06788904045661832,1.0666666666666667,1.1999974999999998,844686.2222222221,66738.59572102799,786432.0,917504.0,0.0,0.0,0.0,0.0,138353.77777777778,66738.59572102799,65536.0,196608.0,138353.77777777778,66738.59572102799,65536.0,196608.0,138353.77777777778,66738.59572102799,65536.0,196608.0
