event_id,mode,dataset,sample_id,decode_step,layer_id,head_id,policy,lead_ms,slack_ms,candidate_count,selected_blocks,predicted_blocks,semantic_tp,semantic_fp,semantic_fn
controlled-44,controlled,hit_0,lead_0/rep_14,15,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-45,controlled,hit_0,lead_0/rep_15,16,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-46,controlled,hit_0,lead_0/rep_15,16,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-47,controlled,hit_0,lead_0/rep_15,16,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-48,controlled,hit_0,lead_0/rep_16,17,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-49,controlled,hit_0,lead_0/rep_16,17,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-50,controlled,hit_0,lead_0/rep_16,17,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-51,controlled,hit_0,lead_0/rep_17,18,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-52,controlled,hit_0,lead_0/rep_17,18,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-53,controlled,hit_0,lead_0/rep_17,18,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-54,controlled,hit_0,lead_0/rep_18,19,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-55,controlled,hit_0,lead_0/rep_18,19,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-56,controlled,hit_0,lead_0/rep_18,19,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-57,controlled,hit_0,lead_0/rep_19,20,0,0,No-Selected-Prefetch,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-58,controlled,hit_0,lead_0/rep_19,20,0,0,History-Last1,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-59,controlled,hit_0,lead_0/rep_19,20,0,0,Oracle,0.0,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-60,controlled,hit_0,lead_0.25/rep_0,1,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-61,controlled,hit_0,lead_0.25/rep_0,1,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-62,controlled,hit_0,lead_0.25/rep_0,1,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-63,controlled,hit_0,lead_0.25/rep_1,2,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-64,controlled,hit_0,lead_0.25/rep_1,2,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-65,controlled,hit_0,lead_0.25/rep_1,2,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-66,controlled,hit_0,lead_0.25/rep_2,3,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-67,controlled,hit_0,lead_0.25/rep_2,3,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-68,controlled,hit_0,lead_0.25/rep_2,3,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-69,controlled,hit_0,lead_0.25/rep_3,4,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-70,controlled,hit_0,lead_0.25/rep_3,4,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-71,controlled,hit_0,lead_0.25/rep_3,4,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-72,controlled,hit_0,lead_0.25/rep_4,5,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-73,controlled,hit_0,lead_0.25/rep_4,5,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-74,controlled,hit_0,lead_0.25/rep_4,5,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-75,controlled,hit_0,lead_0.25/rep_5,6,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-76,controlled,hit_0,lead_0.25/rep_5,6,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-77,controlled,hit_0,lead_0.25/rep_5,6,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-78,controlled,hit_0,lead_0.25/rep_6,7,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-79,controlled,hit_0,lead_0.25/rep_6,7,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-80,controlled,hit_0,lead_0.25/rep_6,7,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-81,controlled,hit_0,lead_0.25/rep_7,8,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-82,controlled,hit_0,lead_0.25/rep_7,8,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-83,controlled,hit_0,lead_0.25/rep_7,8,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-84,controlled,hit_0,lead_0.25/rep_8,9,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-85,controlled,hit_0,lead_0.25/rep_8,9,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
