dataset,sample_id,policy,event_count,mean_t_block_ms,mean_semantic_recall,mean_on_time_recall,mean_read_amplification,mean_useful_on_time_bytes,mean_late_useful_bytes,mean_wrong_nvme_bytes,mean_wrong_h2d_bytes,mean_correction_bytes
narrativeqa,narrativeqa/1,No-Selected-Prefetch,1,0.350558,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
narrativeqa,narrativeqa/1,Random-Same-Volume,1,0.208876,0.533333,0.533333,1.53333,524288.0,0.0,524288.0,524288.0,458752.0
narrativeqa,narrativeqa/1,History-Last1,1,0.16807,0.6,0.6,1.4,589824.0,0.0,393216.0,393216.0,393216.0
narrativeqa,narrativeqa/1,Past-Frequency,1,0.174788,0.6,0.6,1.46667,589824.0,0.0,458752.0,458752.0,393216.0
narrativeqa,narrativeqa/1,Oracle,1,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
narrativeqa,narrativeqa/2,No-Selected-Prefetch,1,0.357533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
narrativeqa,narrativeqa/2,Random-Same-Volume,1,0.208618,0.533333,0.533333,1.53333,524288.0,0.0,524288.0,524288.0,458752.0
narrativeqa,narrativeqa/2,History-Last1,1,0.161431,0.666667,0.666667,1.33333,655360.0,0.0,327680.0,327680.0,327680.0
narrativeqa,narrativeqa/2,Past-Frequency,1,0.126636,0.8,0.8,1.26667,786432.0,0.0,262144.0,262144.0,196608.0
narrativeqa,narrativeqa/2,Oracle,1,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
qmsum,qmsum/2,No-Selected-Prefetch,4,0.36063775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
qmsum,qmsum/2,Random-Same-Volume,4,0.18913075000000001,0.5333335,0.5333335,1.5333350000000001,524288.0,0.0,524288.0,524288.0,458752.0
qmsum,qmsum/2,History-Last1,4,0.11228325,0.80000025,0.80000025,1.1999974999999998,786432.0,0.0,196608.0,196608.0,196608.0
qmsum,qmsum/2,Past-Frequency,4,0.10566299999999999,0.816667,0.816667,1.25,802816.0,0.0,245760.0,245760.0,180224.0
qmsum,qmsum/2,Oracle,4,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
qmsum,qmsum/1,No-Selected-Prefetch,3,0.366531,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
qmsum,qmsum/1,Random-Same-Volume,3,0.24528533333333333,0.4444443333333334,0.4444443333333334,1.6222233333333334,436906.6666666667,0.0,611669.3333333334,611669.3333333334,546133.3333333334
qmsum,qmsum/1,History-Last1,3,0.052175,0.9333333333333332,0.9333333333333332,1.0666666666666667,917504.0,0.0,65536.0,65536.0,65536.0
qmsum,qmsum/1,Past-Frequency,3,0.08455033333333334,0.8888886666666668,0.8888886666666668,1.1777766666666667,873813.3333333334,0.0,174762.66666666666,174762.66666666666,109226.66666666667
qmsum,qmsum/1,Oracle,3,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
qmsum,qmsum/0,No-Selected-Prefetch,3,0.37679100000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
qmsum,qmsum/0,Random-Same-Volume,3,0.21506433333333333,0.48888899999999996,0.48888899999999996,1.5777766666666668,480597.3333333333,0.0,567978.6666666666,567978.6666666666,502442.6666666667
qmsum,qmsum/0,History-Last1,3,0.119717,0.8444443333333332,0.8444443333333332,1.1555566666666666,830122.6666666666,0.0,152917.33333333334,152917.33333333334,152917.33333333334
qmsum,qmsum/0,Past-Frequency,3,0.09295633333333332,0.866667,0.866667,1.2,851968.0,0.0,196608.0,196608.0,131072.0
qmsum,qmsum/0,Oracle,3,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
repobench-p,repobench-p/1,No-Selected-Prefetch,3,0.36946133333333336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
repobench-p,repobench-p/1,Random-Same-Volume,3,0.21064833333333333,0.48888899999999996,0.48888899999999996,1.5777766666666668,480597.3333333333,0.0,567978.6666666666,567978.6666666666,502442.6666666667
repobench-p,repobench-p/1,History-Last1,3,0.10136533333333332,0.8444446666666666,0.8444446666666666,1.1777766666666667,830122.6666666666,0.0,174762.66666666666,174762.66666666666,152917.33333333334
repobench-p,repobench-p/1,Past-Frequency,3,0.08447833333333334,0.8888889999999999,0.8888889999999999,1.1777766666666667,873813.3333333334,0.0,174762.66666666666,174762.66666666666,109226.66666666667
repobench-p,repobench-p/1,Oracle,3,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
repobench-p,repobench-p/2,No-Selected-Prefetch,4,0.348271,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
repobench-p,repobench-p/2,Random-Same-Volume,4,0.1765025,0.56666675,0.56666675,1.5,557056.0,0.0,491520.0,491520.0,425984.0
repobench-p,repobench-p/2,History-Last1,4,0.09153275,0.8833335,0.8833335,1.116665,868352.0,0.0,114688.0,114688.0,114688.0
repobench-p,repobench-p/2,Past-Frequency,4,0.068671,0.9,0.9,1.1666675,884736.0,0.0,163840.0,163840.0,98304.0
repobench-p,repobench-p/2,Oracle,4,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
repobench-p,repobench-p/0,No-Selected-Prefetch,3,0.37546100000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
